iter	Passed	Remaining
405	6250	9144
406	6262	9123
407	6274	9104
408	6288	9087
409	6310	9080
410	6324	9063
411	6337	9045
412	6349	9025
413	6361	9005
414	6373	8984
415	6385	8963
416	6396	8942
417	6408	8922
418	6419	8901
419	6431	8880
420	6442	8860
421	6453	8839
422	6465	8818
423	6476	8798
424	6487	8777
425	6498	8756
426	6510	8736
427	6522	8716
428	6533	8695
429	6544	8675
430	6556	8655
431	6568	8636
432	6580	8616
433	6591	8596
434	6603	8576
435	6617	8560
436	6630	8541
437	6641	8521
438	6653	8502
439	6665	8482
440	6676	8463
441	6688	8443
442	6700	8424
443	6714	8408
444	6725	8388
445	6737	8368
446	6749	8349
447	6760	8329
448	6771	8310
449	6783	8290
450	6795	8271
451	6806	8252
452	6818	8233
453	6829	8213
454	6841	8194
455	6852	8175
456	6864	8155
457	6875	8136
458	6887	8117
459	6898	8098
460	6910	8079
461	6921	8060
462	6932	8040
463	6944	8021
464	6955	8002
465	6969	7985
466	6980	7966
467	6991	7947
468	7003	7928
469	7014	7910
470	7026	7891
471	7037	7872
472	7049	7853
473	7060	7835
474	7072	7816
475	7083	7798
476	7095	7779
477	7107	7761
478	7119	7743
479	7131	7725
480	7143	7707
481	7155	7690
482	7166	7671
483	7179	7654
484	7191	7635
485	7203	7618
486	7214	7599
487	7225	7581
488	7238	7563
489	7249	7545
490	7261	7527
491	7272	7509
492	7284	7491
493	7296	7473
494	7310	7457
495	7321	7440
496	7333	7422
497	7344	7403
498	7357	7387
499	7368	7368
500	7380	7350
501	7391	7332
502	7403	7315
503	7414	7297
504	7426	7279
505	7437	7261
506	7449	7243
507	7460	7225
508	7472	7208
509	7485	7191
510	7496	7174
511	7508	7156
512	7519	7138
513	7531	7120
514	7542	7103
515	7554	7085
516	7566	7068
517	7579	7053
518	7593	7037
519	7609	7024
520	7623	7009
521	7635	6991
522	7646	6974
523	7658	6956
524	7669	6939
525	7681	6921
526	7692	6904
527	7707	6889
528	7728	6881
529	7740	6863
530	7753	6848
531	7766	6831
532	7777	6814
533	7788	6797
534	7800	6780
535	7811	6762
536	7823	6745
537	7834	6727
538	7846	6710
539	7857	6693
540	7869	6676
541	7880	6659
542	7892	6642
543	7904	6625
544	7915	6608
545	7927	6591
546	7938	6574
547	7949	6557
548	7961	6540
549	7973	6523
550	7984	6506
551	7996	6489
552	8007	6472
553	8018	6455
554	8030	6438
555	8041	6421
556	8053	6404
557	8064	6388
558	8075	6371
559	8087	6354
560	8098	6337
561	8109	6320
562	8120	6303
563	8133	6287
564	8146	6272
565	8158	6255
566	8170	6239
567	8181	6222
568	8193	6206
